p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
10.0,10.0,154.4133708970593,-13.872549019607842,6.127450980392157,4.399756591821554,40.59,26.999504
5.309990696788885,10.0,154.4133708970593,-7.859010304632022,7.450980392156863,4.252426492316605,31.53,27.99909
-10.0,10.0,154.4133708970593,8.382352941176471,8.382352941176471,8.633483505455693,31.1,27.99909
-9.27560191386395,10.0,154.4133708970593,8.099131325628655,8.823529411764707,7.12404617489425,30.42,27.99909
-10.0,10.0,154.4133708970593,8.823529411764707,8.823529411764707,9.344318681471828,29.87,26.28628
-10.0,10.0,154.4133708970593,8.333333333333336,8.333333333333334,9.946220970608383,29.61,26.256842
-6.706985849676066,10.0,154.4133708970593,3.324632908499595,6.617647058823529,6.163960520125617,29.46,29.458992
-10.0,10.0,154.4133708970593,6.911764705882355,6.911764705882353,6.4919743935569105,26.68,26.678352
-1.7914647033600843,10.0,154.4133708970593,-2.3752019633065817,5.833333333333334,6.0517757843779885,26.42,26.418402
0.44366132132381875,10.0,154.4133708970593,-3.7769946546571527,6.666666666666666,6.12105368156551,26.5,26.498688
10.0,10.0,154.4133708970593,-12.696078431372548,7.303921568627451,6.266798440135906,29.08,24.998661
-1.537498523232971,10.0,154.4133708970593,-0.962501476767029,7.5,6.887227066459516,27.72,23.99909
9.536903039073849,10.0,154.4133708970593,-11.8408246077013,7.696078431372549,6.955537833448283,27.03,23.99909
-0.09011300008352296,10.0,154.4133708970593,-3.341259548936085,6.568627450980392,7.6071383952353475,27.62,25.198042
6.646420635059272,10.0,154.4133708970593,-9.489557889961233,7.1568627450980395,6.850055443185981,33.18,25.998234
-10.0,10.0,154.4133708970593,7.7941176470588225,7.794117647058823,9.441186926631872,34.21,26.498688
-6.686382602292817,10.0,154.4133708970593,2.911872798371249,6.2254901960784315,10.0,35.75,26.498688
1.195044636026441,10.0,154.4133708970593,-5.410730910536245,5.784313725490197,5.989835453310523,32.52,27.198523
-10.0,10.0,154.4133708970593,6.274509803921568,6.2745098039215685,4.28268230524263,32.01,26.791737
-10.0,10.0,154.4133708970593,6.470588235294116,6.470588235294118,4.260149454743075,31.23,26.791737
-10.0,10.0,154.4133708970593,6.078431372549019,6.078431372549019,4.255719745582633,31.19,26.999144
-6.4048464273689625,10.0,154.4133708970593,0.32641505481994315,3.92156862745098,3.490875993856066,31.08,26.999144
-3.1467144287377913,10.0,154.4133708970593,-3.1768149830269152,3.676470588235294,3.301051145258656,31.21,27.49826
10.0,10.0,154.4133708970593,-16.96078431372549,3.0392156862745088,1.108381670144319,31.3,27.49826
10.0,10.0,154.4133708970593,-17.205882352941178,2.794117647058823,7.003073460806859,33.58,27.49826
7.885332525541058,10.0,154.4133708970593,-14.699058015737137,3.186274509803921,2.577168753845389,34.05,34.048332
-8.892877805857436,10.0,154.4133708970593,3.647779766641749,4.754901960784313,4.545749308840426,31.31,31.307873
-9.105054457339254,10.0,154.4133708970593,3.516819163221607,4.411764705882353,4.819706915472006,30.95,26.999144
-10.0,10.0,154.4133708970593,4.705882352941176,4.705882352941176,1.894141248486184,30.58,25.998234
-10.0,10.0,154.4133708970593,4.5588235294117645,4.5588235294117645,3.638930768513486,30.28,25.998234
-0.9987636345457354,10.0,154.4133708970593,-4.148295188983677,4.852941176470588,5.3827122260226625,29.46,26.798426
-10.0,10.0,154.4133708970593,5.588235294117647,5.588235294117647,5.803159163311808,29.07,25.998234
-4.333063986999289,10.0,154.4133708970593,-0.9120340522163985,4.754901960784313,6.555449996974758,28.28,28.280098
