p_DA,p_H,h_H,p_IM,s1,s2,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
0.5727243874562085,10.0,154.4133708970593,-0.9648812502013069,0.0,0.0,9.607843137254902,10.0,32.64,23.900389,922.112912170309
-0.5280595005144799,10.0,154.4133708970593,0.08688302992624486,0.0,0.0,9.558823529411764,8.512563564056935,31.43,23.900389,911.9598534939216
2.3365812979086167,10.0,154.4133708970593,-2.777757768496852,0.0,0.0,9.558823529411764,8.888138457526649,31.1,31.100882,912.75718716471
4.290504787980545,10.0,154.4133708970593,-4.731681258568781,0.0,0.0,9.558823529411764,8.760766996286243,32.59,32.590225,912.1012195776021
0.6193838843401753,10.0,154.4133708970593,-0.9135015313989996,0.0,0.0,9.705882352941176,8.410152137753933,42.85,42.851025,913.8763478668155
-10.0,10.0,154.4133708970593,9.852941176470587,0.0,0.0,9.852941176470587,8.873553868180004,40.72,40.720718,920.4990645000029
-10.0,10.0,154.4133708970593,9.803921568627452,0.0,0.0,9.803921568627452,9.621729720695752,28.33,24.40085,882.4042449901991
-9.636344189508565,10.0,154.4133708970593,9.146148111077192,0.0,0.0,9.509803921568627,8.824387247199668,27.64,23.500288,875.0687866853092
-10.0,10.0,154.4133708970593,9.754901960784313,0.0,0.0,9.754901960784313,8.42737277703199,27.55,23.500288,880.223230872552
-10.0,10.0,154.4133708970593,9.705882352941174,0.0,0.0,9.705882352941176,7.268123537699331,26.9,23.500288,885.5712559705912
-9.480831634299744,10.0,154.4133708970593,8.059263006848763,0.0,0.0,8.57843137254902,9.702245653971731,26.41,23.001163,861.4638840008981
-7.004900804395985,10.0,154.4133708970593,1.612743941650887,0.0,0.0,4.607843137254902,2.798332787889748,26.07,22.999826,780.955291452277
-6.755989246052297,10.0,154.4133708970593,-1.0381284010065261,0.0,0.0,2.205882352941176,3.2034264848118186,26.01,22.999826,726.8801725037274
-7.383216855634174,10.0,154.4133708970593,1.8440011693596645,0.0,0.0,4.46078431372549,3.073126899334288,25.81,22.999826,778.3311043775067
-8.395968251780026,10.0,154.4133708970593,3.1018506047212018,0.0,0.0,4.705882352941176,4.30544188496166,25.89,22.999826,780.4506315303535
1.6463845636298728,10.0,154.4133708970593,-6.205208093041638,0.0,0.0,5.441176470588235,5.299129916074445,26.2,26.199301,807.0433863522247
-5.639667557074027,10.0,154.4133708970593,-0.19366577625930503,0.0,0.0,4.166666666666667,4.54932034055156,26.95,23.498949,769.9402425198481
