p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
10.0,10.0,-19.950980392156865,154.41337089705934,0.049019607843137004,1.0,0.0,0.0,0.0,51.52,46.370464
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,51.57,46.995808
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,53.4,48.841038
10.0,10.0,-19.754901960784313,154.41337089705934,0.245098039215686,1.0,0.0,0.0,0.0,61.91,61.903614
10.0,10.0,-19.362745098039216,154.41337089705934,0.637254901960784,1.0,0.0,0.0,0.0,61.36,61.354599
-10.0,2.8231500736095025,8.20626169109638,49.13923402718213,1.029411764705882,1.0,0.0,0.0,0.0,58.57,93.73452
-10.0,2.823150073609502,8.255281298939517,49.13923402718211,1.0784313725490189,1.0,0.0,0.0,0.0,51.95,93.597931
-9.999999999999995,10.0,0.5882352941176414,154.41337089705934,0.588235294117647,1.0,0.0,0.0,0.0,51.57,71.287781
10.0,10.0,-18.97058823529412,154.41337089705934,1.029411764705882,1.0,0.0,0.0,0.0,50.71,47.314507
10.0,10.0,-18.333333333333332,154.41337089705934,1.666666666666666,1.0,0.0,0.0,0.0,50.23,47.314507
10.0,10.0,-18.235294117647058,154.41337089705934,1.7647058823529411,1.0,0.0,0.0,0.0,48.62,48.618679
10.0,10.0,-19.65686274509804,154.41337089705934,0.34313725490196,1.0,0.0,0.0,0.0,47.98,47.978573
10.0,10.0,-19.11764705882353,154.41337089705934,0.8823529411764699,1.0,0.0,0.0,0.0,47.84,43.998661
10.0,10.0,-17.598039215686274,154.41337089705934,2.401960784313725,1.0,0.0,0.0,0.0,46.96,43.998661
10.0,10.0,-17.794117647058822,154.41337089705934,2.205882352941176,1.0,0.0,0.0,0.0,48.09,43.998661
10.0,10.0,-18.137254901960784,154.41337089705934,1.8627450980392148,1.0,0.0,0.0,0.0,49.87,45.498493
10.0,10.0,-18.431372549019606,154.41337089705934,1.5686274509803921,1.0,0.0,0.0,0.0,53.51,53.507866
10.0,10.0,-18.627450980392158,154.41337089705934,1.372549019607843,1.0,0.0,0.0,0.0,66.97,49.861401
-10.0,1.5,10.50980392156863,24.544595105156553,2.009803921568627,1.0,0.0,0.0,0.0,72.85,133.91362
-10.0,2.8231500736095025,8.892536200900302,49.13923402718213,1.715686274509804,1.0,0.0,0.0,0.0,73.13,93.73954
-10.0,2.8231500736095025,9.186653847959125,49.13923402718213,2.009803921568627,1.0,0.0,0.0,0.0,72.32,93.73954
10.0,10.0,-17.745098039215687,154.41337089705934,2.254901960784313,1.0,0.0,0.0,0.0,69.52,69.517242
10.0,10.0,-17.058823529411764,154.41337089705934,2.9411764705882346,1.0,0.0,0.0,0.0,67.13,51.388016
10.0,10.0,-16.274509803921568,154.41337089705934,3.725490196078431,1.0,0.0,0.0,0.0,65.15,51.388016
10.0,10.0,-17.69607843137255,154.41337089705934,2.30392156862745,1.0,0.0,0.0,0.0,60.98,49.39806
10.0,10.0,-17.401960784313726,154.41337089705934,2.598039215686274,1.0,0.0,0.0,0.0,53.25,49.861401
10.0,10.0,-14.656862745098039,154.41337089705934,5.3431372549019605,1.0,0.0,0.0,0.0,53.26,53.25745
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,53.0,52.997658
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,51.32,51.318378
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,50.89,50.888515
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,50.6,50.597923
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,50.03,50.027451
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,21.15,21.148979
10.0,10.0,-10.098039215686274,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,14.38,14.379645
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,17.94,17.941952
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,20.91,0.0
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,7.78,7.780293
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,14.33,14.331061
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,18.56,18.562073
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,18.57,50.840443
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,35.81,35.814259
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.87,43.875816
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,46.93,46.936234
-9.999999999999995,10.0,9.95098039215686,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,43.88,53.574059
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.85,53.961132
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,46.74,53.961132
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.94,43.945461
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.21,43.215515
-9.999999999999995,10.0,9.754901960784307,154.41337089705934,9.754901960784313,1.0,0.0,0.0,0.0,43.81,43.815544
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,45.6,3.348379
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,35.21,6.696757
-9.999999999999995,10.0,9.95098039215686,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,45.64,52.943226
-9.999999999999995,10.0,9.90196078431372,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,45.63,52.943226
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,37.94,37.945168
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,39.53,51.818169
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,35.97,51.806114
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,29.72,51.806114
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,22.55,50.398457
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,20.04,20.039913
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,7.24,7.240728
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,3.43,3.430171
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,10.04,10.040048
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,14.2,14.200185
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,25.41,25.410856
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,36.98,36.980484
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.89,43.890385
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,50.98,50.981102
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,50.3,47.068752
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,50.21,47.068752
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,45.8,45.80035
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.64,43.639919
-10.0,10.0,10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,43.49,43.491245
-9.999999999999998,2.8231500736095025,17.176849926390496,49.13923402718213,10.0,1.0,0.0,0.0,0.0,45.05,93.757118
10.0,10.0,-10.049019607843135,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,49.95,47.580399
-9.999999999999995,10.0,9.95098039215686,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,53.82,53.820602
-9.999999999999995,10.0,9.803921568627446,154.41337089705934,9.803921568627452,1.0,0.0,0.0,0.0,55.94,55.940853
-9.999999999999995,10.0,8.823529411764701,154.41337089705934,8.823529411764707,1.0,0.0,0.0,0.0,54.19,54.190273
10.0,10.0,-13.823529411764707,154.41337089705934,6.176470588235294,1.0,0.0,0.0,0.0,54.19,49.62698
10.0,10.0,-15.196078431372548,154.41337089705934,4.803921568627451,1.0,0.0,0.0,0.0,52.98,48.092041
10.0,10.0,-15.784313725490197,154.41337089705934,4.215686274509804,1.0,0.0,0.0,0.0,51.68,48.092041
-9.999999999999995,10.0,4.117647058823524,154.41337089705934,4.117647058823529,1.0,0.0,0.0,0.0,50.96,54.00008
-9.999999999999995,10.0,3.627450980392151,154.41337089705934,3.627450980392157,1.0,0.0,0.0,0.0,49.96,52.801331
-9.999999999999995,10.0,2.3039215686274446,154.41337089705934,2.30392156862745,1.0,0.0,0.0,0.0,50.51,52.504185
-9.999999999999995,10.0,1.5686274509803866,154.41337089705934,1.5686274509803921,1.0,0.0,0.0,0.0,49.98,53.503448
-9.999999999999995,10.0,1.6176470588235237,154.41337089705934,1.617647058823529,1.0,0.0,0.0,0.0,49.55,53.503448
-9.999999999999995,10.0,1.2745098039215623,154.41337089705934,1.274509803921568,1.0,0.0,0.0,0.0,49.98,51.48349
-9.999999999999995,10.0,0.9803921568627398,154.41337089705934,0.980392156862745,1.0,0.0,0.0,0.0,49.94,51.443306
-9.999999999999995,10.0,0.6862745098039156,154.41337089705934,0.6862745098039209,1.0,0.0,0.0,0.0,49.8,53.003819
-10.0,10.0,0.8333333333333334,154.41337089705934,0.833333333333333,1.0,0.0,0.0,0.0,56.97,59.003414
-10.0,2.8231500736095025,7.9121440440375554,49.13923402718213,0.735294117647058,1.0,0.0,0.0,0.0,72.6,90.006027
-10.0,2.8231500736095025,7.961163651880693,49.13923402718213,0.7843137254901961,1.0,0.0,0.0,0.0,81.17,90.006027
-9.999999999999995,10.0,0.9803921568627398,154.41337089705934,0.980392156862745,1.0,0.0,0.0,0.0,81.79,81.794922
10.0,10.0,-19.50980392156863,154.41337089705934,0.490196078431372,1.0,0.0,0.0,0.0,81.15,71.458038
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,80.0,71.569221
-10.0,10.0,0.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,76.39,76.395416
-10.0,10.0,0.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,75.0,75.00502
-10.0,10.0,0.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,76.06,76.06456
-10.0,10.0,0.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,75.4,75.405533
-9.999999999999995,10.0,0.1470588235294059,154.41337089705934,0.147058823529411,1.0,0.0,0.0,0.0,76.78,76.78521
